listing_id,date
197972,2022-12-03
210097,2011-09-16
210097,2011-09-23
210097,2011-09-30
210097,2011-10-08
210097,2011-10-11
210097,2011-10-17
210097,2011-11-08
210097,2011-11-15
210097,2011-11-24
210097,2011-12-20
210097,2011-12-31
4090224,2018-01-31
4090224,2018-02-02
4090224,2018-02-04
4090224,2018-02-06
4090224,2018-02-07
4090224,2018-02-09
4090224,2018-02-12
4090224,2018-02-15
4090224,2018-02-16
4090224,2018-02-19
4090224,2018-02-22
4090224,2018-02-28
4090224,2018-03-01
4090224,2018-03-04
4090224,2018-03-08
4090224,2018-03-14
4090224,2018-03-15
4090224,2018-03-17
4090224,2018-03-19
6882615,2019-08-08
4090224,2018-03-30
210097,2012-03-18
4090224,2018-04-01
4090224,2018-04-05
210097,2012-04-07
210097,2012-04-12
210097,2012-04-14
210097,2012-04-16
210097,2012-04-20
210097,2012-04-25
210097,2012-04-28
210097,2012-04-30
4090224,2018-04-08
4090224,2018-04-10
4090224,2018-04-12
4090224,2018-04-13
210097,2012-05-06
4090224,2018-04-20
4090224,2018-04-22
4090224,2018-04-24
210097,2012-05-15
4090224,2018-04-27
4090224,2018-04-30
4090224,2018-05-02
4090224,2018-05-04
4090224,2018-05-06
4090224,2018-05-08
4090224,2018-05-09
4090224,2018-05-11
4090224,2018-05-12
4090224,2018-05-13
4090224,2018-05-15
4090224,2018-05-17
4090224,2018-05-20
4090224,2018-05-23
4090224,2018-06-01
4090224,2018-06-03
6882615,2019-08-18
6882615,2019-08-26
6882615,2019-08-29
6882615,2019-09-12
6882615,2019-09-16
6882615,2019-09-19
6882615,2019-09-24
6882615,2019-09-29
6882615,2019-10-02
6882615,2019-10-05
6882615,2019-10-14
6882615,2019-10-19
210097,2012-05-29
4090224,2018-06-07
4090224,2018-06-10
4090224,2018-06-11
4090224,2018-06-14
4090224,2018-06-15
4090224,2018-06-22
4090224,2018-06-25
4090224,2018-06-27
210097,2012-06-30
210097,2012-07-20
4090224,2018-07-01
4090224,2018-07-03
4090224,2018-07-06
4090224,2018-07-08
4090224,2018-07-10
4090224,2018-07-11
4090224,2018-07-14
4090224,2018-07-18
4090224,2018-07-20
4090224,2018-07-25
4090224,2018-07-27
